sentiment,content
empty,tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
enthusiasm,wants to hang out with friends SOON!
neutral,"dannycastillo We want to trade with someone who has Houston tickets, but no one will."
worry,Re-pinging ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
worry,Hmmm. http://www.djhero.com/ is down
sadness,charviray Charlene my love. I miss you
sadness,kelcouch I'm sorry  at least it's Friday?
neutral,cant fall asleep
worry,Choked on her retainers
sadness,Ugh! I have to beat this stupid song to get to the next  rude!
sadness,BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,Got the news
sadness,The storm is here and the electricity is gone
love,annarosekerr agreed
sadness,So sleepy again and it's not even that late. I fail once again.
worry,PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
worry,raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via bobdc) #topicmaps
worry,I ate Something I don't know what it is... Why do I keep Telling things about food
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot
worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sadness,"IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
hate,It is so annoying when she starts typing on her computer in the middle of the night!
neutral,cynthia_123 i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,Screw you davidbrussee! I only have 3 weeks...
sadness,ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
worry,I need skott right now
neutral,has work this afternoon
neutral,GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
happiness,mmm much better day... so far! it's still quite early. last day of #uds
fun,DavidArchie &lt
worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
empty,creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
worry,"onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,"jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
worry,why am i so tired?
empty,djmicdamn hey yu lil fucker i textd yu
neutral,"Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,benballer  no way! damn that sucks B!  are you ok?
worry,sucks not being able to take days off of work or have the money to take the trip  so sad
enthusiasm,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
neutral,ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,lostluna But I got dibs on Sulu...
sadness,"maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
worry,itsgabbith at once haha.  poor aby still gets sore!
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot
sadness,Pokinatcha  in all honesty...pain   blech.
sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,At home alone with not much to do
worry,DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
sadness,vincew stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
neutral,I cant give jertronic any bday nudges.
worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking.  http://plurk.com/p/wxion
worry,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
neutral,I miss Voobys!
neutral,Dancing_Monk Neither are ELP!!
happiness,"havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
worry,is sad that shin ae got married...and it wasn't to alex
